txn_id,timestamp,source_account,dest_account,amount,channel,txn_type
MOCK_000047,2026-05-08T17:28:44,NEW0000188,NEW0000068,393689.38,NEFT,cash_out
MOCK_000048,2026-05-17T23:22:53,NEW0000120,NEW0000145,152602.38,IMPS,payment
MOCK_000049,2026-05-04T08:52:51,457A1192,NEW0000280,483444.88,cheque,cash_in
MOCK_000050,2026-05-17T01:49:03,NEW0000102,NEW0000137,469619.18,NEFT,cash_in
MOCK_000051,2026-05-22T02:18:12,005B7236,238A9883,172850.1,ATM,cash_out
MOCK_000052,2026-05-10T05:27:28,NEW0000130,NEW0000200,127368.71,branch_cash,transfer
MOCK_000053,2026-05-10T13:33:45,8006524E0,NEW0000189,182117.09,NEFT,cash_in
MOCK_000054,2026-05-15T13:54:02,NEW0000169,NEW0000184,253566.18,branch_cash,cash_in
MOCK_000055,2026-05-21T09:51:19,611C3534,457A1192,332468.07,branch_cash,payment
MOCK_000056,2026-05-15T18:02:23,NEW0000077,922D3093,143463.99,branch_cash,debit
MOCK_000057,2026-05-11T08:58:48,NEW0000082,545A5242,255591.89,RTGS,transfer
MOCK_000058,2026-05-05T12:48:14,289C9503,NEW0000085,409213.55,IMPS,cash_in
MOCK_000059,2026-05-12T21:15:44,457A1192,618A9717,491968.17,NEFT,cash_out
MOCK_000060,2026-05-19T15:22:02,NEW0000074,614B5989,247193.64,IMPS,payment
MOCK_000061,2026-05-06T04:10:59,NEW0000001,NEW0000197,389212.42,IMPS,payment
MOCK_000062,2026-05-28T01:25:29,NEW0000178,800422350,124606.65,NEFT,cash_out
MOCK_000063,2026-05-29T21:45:08,NEW0000145,NEW0000143,158655.81,net_banking,debit
MOCK_000064,2026-05-22T15:31:37,NEW0000129,8005FF2D0,448605.08,net_banking,cash_out
MOCK_000065,2026-05-26T07:21:29,495E4167,NEW0000070,242303.66,IMPS,cash_in
MOCK_000066,2026-05-17T07:17:26,614B5989,NEW0000280,159861.59,NEFT,payment
MOCK_000067,2026-05-11T09:16:23,80071E780,NEW0000180,32123.78,branch_cash,cash_in
MOCK_000068,2026-05-29T08:30:06,714B6082,NEW0000049,473031.56,UPI,debit
MOCK_000069,2026-05-19T22:22:02,922D3093,NEW0000076,426725.44,branch_cash,debit
MOCK_000070,2026-05-24T16:49:42,NEW0000139,NEW0000056,109718.62,branch_cash,cash_out
MOCK_000071,2026-05-09T00:17:27,NEW0000204,NEW0000103,420254.43,RTGS,debit
MOCK_000072,2026-05-02T07:34:34,930B2367,289C9503,41982.89,branch_cash,payment
MOCK_000073,2026-05-16T21:23:36,NEW0000046,80071E780,105838.03,ATM,cash_in
MOCK_000074,2026-05-13T05:55:03,NEW0000097,714B6082,417457.11,net_banking,transfer
MOCK_000075,2026-05-11T21:14:15,NEW0000013,NEW0000089,325075.55,UPI,transfer
MOCK_000076,2026-05-08T09:32:17,NEW0000051,NEW0000159,119280.09,net_banking,transfer
MOCK_000077,2026-05-18T21:47:38,928C4969,005B7236,83902.89,NEFT,payment
MOCK_000078,2026-05-28T22:51:06,NEW0000027,472B9107,338676.87,branch_cash,cash_out
MOCK_000079,2026-05-12T18:56:24,NEW0000050,80052F960,50959.63,cheque,debit
MOCK_000080,2026-05-26T20:41:35,NEW0000144,NEW0000088,214194.72,ATM,transfer
MOCK_000081,2026-05-24T19:07:34,NEW0000204,714B6082,52778.38,ATM,cash_out
MOCK_000082,2026-05-14T02:40:07,NEW0000111,80026B6A0,307960.02,net_banking,cash_out
MOCK_000083,2026-05-12T22:01:21,NEW0000292,NEW0000244,415367.2,NEFT,cash_in
MOCK_000084,2026-05-30T15:05:16,NEW0000062,NEW0000145,334097.55,ATM,transfer
MOCK_000085,2026-05-18T05:24:03,NEW0000244,928C4969,398918.2,ATM,cash_in
MOCK_000086,2026-05-01T11:49:36,NEW0000179,NEW0000142,258318.46,IMPS,transfer
MOCK_000087,2026-05-12T15:59:51,714B6082,NEW0000049,345307.76,net_banking,cash_out
MOCK_000088,2026-05-12T19:28:15,NEW0000023,930B2367,153109.95,ATM,cash_out
MOCK_000089,2026-05-27T17:14:56,NEW0000054,118C2559,165402.34,net_banking,cash_in
MOCK_000090,2026-05-16T07:38:24,NEW0000210,457A1192,59786.18,RTGS,payment
MOCK_000091,2026-05-26T11:14:46,8003479D0,013C2991,298399.4,NEFT,payment
MOCK_000092,2026-05-26T22:18:44,073A8578,922D3093,63300.21,UPI,transfer
MOCK_000093,2026-05-24T19:54:54,80052F960,NEW0000163,51302.8,UPI,debit
MOCK_000094,2026-05-03T11:51:29,8003479D0,549B9965,126246.67,net_banking,transfer
MOCK_000095,2026-05-03T14:27:32,NEW0000102,NEW0000200,75871.99,cheque,transfer
MOCK_000096,2026-05-30T10:24:40,NEW0000030,714B6082,298067.46,IMPS,debit
MOCK_000097,2026-05-21T19:37:22,545A5242,013C2991,152697.07,UPI,debit
MOCK_000098,2026-05-11T05:51:43,NEW0000025,NEW0000053,132330.42,NEFT,payment
MOCK_000099,2026-05-20T19:57:26,8005FF2D0,922D3093,225257.35,net_banking,cash_in
MOCK_000100,2026-05-23T00:59:05,611C3534,NEW0000179,35599.17,IMPS,cash_in
MOCK_000101,2026-05-21T15:19:22,NEW0000160,457A1192,57397.0,IMPS,payment
MOCK_000102,2026-05-15T22:23:37,NEW0000036,8001D2320,297526.07,cheque,cash_out
MOCK_000103,2026-05-14T05:11:23,80052F960,930B2367,250241.08,net_banking,cash_out
MOCK_000104,2026-05-16T15:31:54,618A9717,NEW0000188,301860.78,UPI,transfer
MOCK_000105,2026-05-29T12:02:52,575E8550,NEW0000147,475393.63,cheque,debit
MOCK_000106,2026-05-22T11:14:04,NEW0000049,80026B6A0,458037.23,RTGS,debit
MOCK_000107,2026-05-17T21:24:14,800043C00,NEW0000120,204179.96,ATM,transfer
MOCK_000108,2026-05-14T23:47:53,NEW0000084,800043C00,331295.14,branch_cash,debit
MOCK_000109,2026-05-06T15:03:30,8001A4930,NEW0000244,485092.66,branch_cash,debit
MOCK_000110,2026-05-23T10:14:29,NEW0000000,NEW0000138,206629.65,IMPS,debit
MOCK_000111,2026-05-03T12:07:55,NEW0000049,545A5242,101787.08,RTGS,cash_in
MOCK_000112,2026-05-30T13:23:12,80052F960,216B4120,399658.87,RTGS,cash_in
MOCK_000113,2026-05-06T12:11:30,8005FF2D0,NEW0000210,230729.33,NEFT,payment
MOCK_000114,2026-05-21T04:04:52,614B5989,NEW0000019,417363.63,net_banking,payment
MOCK_000115,2026-05-25T16:08:36,8002BA920,238A9883,373148.81,RTGS,transfer
MOCK_000116,2026-05-13T23:16:43,714B6082,525E1591,410276.53,cheque,cash_in
MOCK_000117,2026-05-08T05:07:34,NEW0000148,NEW0000125,223279.23,net_banking,cash_in
MOCK_000118,2026-05-16T14:53:52,NEW0000049,NEW0000145,434802.15,IMPS,debit
MOCK_000119,2026-05-23T23:03:26,605E6253,NEW0000244,352616.89,branch_cash,cash_out
MOCK_000120,2026-05-02T19:07:51,NEW0000166,NEW0000126,63131.87,ATM,transfer
MOCK_000121,2026-05-01T17:52:52,NEW0000112,NEW0000145,361224.69,branch_cash,payment
MOCK_000122,2026-05-20T07:06:05,005B7236,80052F960,324921.83,ATM,debit
MOCK_000123,2026-05-24T16:30:00,NEW0000244,NEW0000194,436192.78,UPI,debit
MOCK_000124,2026-05-12T01:02:26,NEW0000074,NEW0000073,373385.72,branch_cash,transfer
MOCK_000125,2026-05-09T01:49:44,NEW0000180,NEW0000113,347003.64,UPI,transfer
MOCK_000126,2026-05-21T21:47:11,800422350,073A8578,72793.44,branch_cash,debit
MOCK_000127,2026-05-30T14:06:33,NEW0000046,8001A4930,435421.09,IMPS,cash_out
MOCK_000128,2026-05-13T07:54:18,NEW0000036,NEW0000074,229790.65,UPI,cash_out
MOCK_000129,2026-05-22T10:39:08,NEW0000173,063A7560,472618.37,cheque,cash_out
MOCK_000130,2026-05-19T16:12:00,NEW0000116,NEW0000050,426669.2,NEFT,payment
MOCK_000131,2026-05-15T07:58:07,NEW0000054,80052F960,10979.58,branch_cash,cash_in
MOCK_000132,2026-05-30T10:30:53,575E8550,NEW0000012,372588.63,cheque,payment
MOCK_000133,2026-05-13T04:00:04,NEW0000090,457A1192,338885.45,RTGS,transfer
MOCK_000134,2026-05-02T14:52:20,NEW0000165,545A5242,289791.11,RTGS,transfer
MOCK_000135,2026-05-10T17:56:34,NEW0000083,NEW0000044,66088.58,ATM,debit
MOCK_000136,2026-05-24T09:23:36,NEW0000280,NEW0000065,483692.36,cheque,cash_in
MOCK_000137,2026-05-11T22:51:36,NEW0000119,NEW0000036,430071.7,branch_cash,debit
MOCK_000138,2026-05-06T23:59:28,930B2367,8006524E0,227398.47,cheque,debit
MOCK_000139,2026-05-12T08:25:20,NEW0000074,NEW0000027,235743.72,ATM,debit
MOCK_000140,2026-05-15T16:04:37,063A7560,NEW0000118,324623.23,NEFT,payment
MOCK_000141,2026-05-06T15:17:24,618A9717,800043C00,48605.03,RTGS,cash_out
MOCK_000142,2026-05-27T05:22:11,289C9503,NEW0000178,209569.19,RTGS,cash_out
MOCK_000143,2026-05-02T14:07:02,NEW0000125,NEW0000071,345143.43,IMPS,cash_out
MOCK_000144,2026-05-18T19:58:34,495E4167,NEW0000025,272237.49,ATM,transfer
MOCK_000145,2026-05-05T10:48:26,457A1192,NEW0000116,331387.74,UPI,transfer
MOCK_000146,2026-05-10T23:04:54,NEW0000062,NEW0000144,34314.39,IMPS,debit
MOCK_000147,2026-05-29T22:22:08,NEW0000210,8002BA920,1427.75,RTGS,payment
MOCK_000148,2026-05-07T09:33:42,549B9965,216B4120,7440.02,IMPS,debit
MOCK_000149,2026-05-21T10:27:16,549B9965,233C9131,263047.5,NEFT,cash_out
MOCK_000150,2026-05-22T22:37:28,073A8578,868A4181,251924.31,UPI,debit
MOCK_000151,2026-05-24T06:03:15,130B7545,NEW0000015,423650.8,branch_cash,transfer
MOCK_000152,2026-05-16T15:17:14,545A5242,8001A4930,304152.63,NEFT,payment
MOCK_000153,2026-05-16T18:52:06,NEW0000074,614B5989,190458.39,cheque,cash_out
MOCK_000154,2026-05-06T13:18:07,NEW0000013,80052F960,426397.84,IMPS,cash_out
MOCK_000155,2026-05-20T08:33:15,NEW0000210,NEW0000145,208000.67,NEFT,cash_in
MOCK_000156,2026-05-24T00:33:43,289C9503,8002BA920,33575.98,NEFT,transfer
MOCK_000157,2026-05-28T00:13:08,118C2559,NEW0000033,29999.89,ATM,transfer
MOCK_000158,2026-05-03T11:56:20,289C9503,NEW0000108,484199.63,cheque,cash_in
MOCK_000159,2026-05-24T09:47:28,525E1591,289C9503,112130.19,NEFT,cash_in
MOCK_000160,2026-05-28T20:52:29,NEW0000094,NEW0000280,113087.29,branch_cash,debit
MOCK_000161,2026-05-28T00:38:55,NEW0000159,NEW0000164,13136.65,cheque,transfer
MOCK_000162,2026-05-18T00:58:18,80052F960,NEW0000086,3062.83,RTGS,debit
MOCK_000163,2026-05-02T11:43:05,NEW0000017,NEW0000074,45887.92,IMPS,cash_out
MOCK_000164,2026-05-16T17:56:00,NEW0000204,472B9107,388420.04,NEFT,transfer
MOCK_000165,2026-05-04T23:02:57,NEW0000049,NEW0000172,136058.7,branch_cash,cash_out
MOCK_000166,2026-05-25T20:55:36,NEW0000106,NEW0000049,56917.62,branch_cash,transfer
MOCK_000167,2026-05-15T23:20:04,575E8550,80026B6A0,22718.23,branch_cash,debit
MOCK_000168,2026-05-07T15:53:24,928C4969,NEW0000146,382082.81,cheque,cash_in
MOCK_000169,2026-05-07T06:30:44,800043C00,NEW0000044,190109.92,IMPS,debit
MOCK_000170,2026-05-20T06:37:17,289C9503,NEW0000018,430883.56,UPI,cash_out
MOCK_000171,2026-05-21T20:09:08,063A7560,NEW0000147,286704.11,branch_cash,cash_in
MOCK_000172,2026-05-23T08:03:06,216B4120,NEW0000043,416014.64,ATM,transfer
MOCK_000173,2026-05-20T10:33:28,868A4181,013C2991,261986.03,branch_cash,cash_in
MOCK_000174,2026-05-04T16:59:18,NEW0000056,8001D2320,255246.54,NEFT,debit
MOCK_000175,2026-05-08T04:04:16,605E6253,NEW0000292,118142.06,RTGS,cash_in
MOCK_000176,2026-05-04T15:47:34,238A9883,NEW0000049,88581.29,net_banking,cash_out
MOCK_000177,2026-05-28T09:40:50,NEW0000194,575E8550,321499.49,ATM,cash_in
MOCK_000178,2026-05-15T16:48:40,063A7560,NEW0000074,398166.88,UPI,cash_in
MOCK_000179,2026-05-03T18:16:54,472B9107,618A9717,184375.11,cheque,transfer
MOCK_000180,2026-05-19T15:57:16,NEW0000023,NEW0000129,231361.2,UPI,cash_out
MOCK_000181,2026-05-30T08:52:58,NEW0000146,NEW0000082,237819.76,RTGS,transfer
MOCK_000182,2026-05-25T11:50:31,NEW0000204,NEW0000021,323067.08,UPI,payment
MOCK_000183,2026-05-08T16:57:09,NEW0000112,909E1852,181955.34,cheque,cash_out
MOCK_000184,2026-05-17T05:53:41,NEW0000204,NEW0000013,32965.27,NEFT,debit
MOCK_000185,2026-05-30T06:11:50,NEW0000072,289C9503,436641.1,ATM,transfer
MOCK_000186,2026-05-20T00:39:50,8002BA920,NEW0000079,64484.54,NEFT,cash_in
MOCK_000187,2026-05-26T13:17:33,130B7545,NEW0000032,46735.55,branch_cash,debit
MOCK_000188,2026-05-17T14:08:49,073A8578,928C4969,473834.66,net_banking,payment
MOCK_000189,2026-05-05T21:50:15,233C9131,611C3534,253849.78,UPI,cash_in
MOCK_000190,2026-05-08T11:43:02,NEW0000158,80071E780,81131.98,RTGS,cash_out
MOCK_000191,2026-05-22T13:31:44,073A8578,NEW0000060,305301.61,net_banking,payment
MOCK_000192,2026-05-10T10:02:42,472B9107,NEW0000120,183926.8,net_banking,cash_out
MOCK_000193,2026-05-21T07:46:30,NEW0000199,80026B6A0,483134.41,IMPS,debit
MOCK_000194,2026-05-19T00:29:36,005B7236,8003479D0,277274.83,NEFT,debit
MOCK_000195,2026-05-14T05:49:29,NEW0000072,8001D2320,224665.12,RTGS,cash_out
MOCK_000196,2026-05-02T07:04:22,NEW0000210,NEW0000089,207454.3,branch_cash,debit
MOCK_000197,2026-05-11T21:36:23,80071E780,NEW0000095,14103.49,NEFT,cash_in
MOCK_000198,2026-05-07T17:42:18,NEW0000035,8003479D0,379422.99,net_banking,cash_out
MOCK_000199,2026-05-08T06:12:10,NEW0000020,928C4969,274406.63,branch_cash,transfer
MOCK_000200,2026-05-12T13:48:07,NEW0000060,800422350,209918.57,net_banking,transfer
MOCK_000201,2026-05-26T00:27:22,800043C00,216B4120,287527.98,RTGS,cash_in
MOCK_000202,2026-05-21T05:20:11,909E1852,NEW0000200,93665.08,NEFT,debit
MOCK_000203,2026-05-25T15:04:46,NEW0000017,NEW0000139,393208.3,UPI,cash_out
MOCK_000204,2026-05-13T07:31:26,NEW0000011,NEW0000095,373660.82,ATM,transfer
MOCK_000205,2026-05-29T05:57:59,NEW0000292,NEW0000026,367596.14,ATM,payment
MOCK_000206,2026-05-09T11:59:37,8006524E0,130B7545,415193.52,net_banking,cash_out
MOCK_000207,2026-05-23T05:14:07,NEW0000034,605E6253,18501.53,IMPS,transfer
MOCK_000208,2026-05-26T00:27:55,NEW0000010,472B9107,199118.05,net_banking,cash_in
MOCK_000209,2026-05-03T07:41:44,130B7545,NEW0000054,432900.48,ATM,cash_in
MOCK_000210,2026-05-22T08:19:49,073A8578,930B2367,447319.8,branch_cash,cash_in
MOCK_000211,2026-05-26T05:00:00,NEW0000127,NEW0000094,133367.68,NEFT,cash_out
MOCK_000212,2026-05-27T11:31:25,238A9883,NEW0000046,146890.27,NEFT,transfer
MOCK_000213,2026-05-21T16:27:40,611C3534,238A9883,83330.72,net_banking,cash_in
MOCK_000214,2026-05-30T20:21:14,NEW0000292,NEW0000090,499075.32,cheque,transfer
MOCK_000215,2026-05-08T18:23:52,NEW0000074,525E1591,476395.17,RTGS,debit
MOCK_000216,2026-05-12T10:57:16,NEW0000112,063A7560,389259.9,ATM,cash_in
MOCK_000217,2026-05-22T20:11:52,NEW0000200,8002BA920,474412.28,ATM,cash_out
MOCK_000218,2026-05-20T07:44:35,NEW0000146,073A8578,157199.58,cheque,payment
MOCK_000219,2026-05-26T03:13:01,NEW0000006,NEW0000127,193499.82,NEFT,cash_in
MOCK_000220,2026-05-14T20:43:16,NEW0000180,909E1852,346993.38,net_banking,payment
MOCK_000221,2026-05-22T14:35:31,063A7560,614B5989,498631.23,ATM,cash_in
MOCK_000222,2026-05-08T15:30:24,NEW0000140,472B9107,355907.43,RTGS,cash_in
MOCK_000223,2026-05-12T11:49:03,NEW0000010,NEW0000035,395188.63,UPI,cash_in
MOCK_000224,2026-05-07T07:11:39,073A8578,8005FF2D0,305978.06,NEFT,transfer
MOCK_000225,2026-05-20T22:36:39,614B5989,NEW0000134,384584.58,NEFT,payment
MOCK_000226,2026-05-26T02:46:05,NEW0000164,NEW0000145,172263.95,RTGS,payment
MOCK_000227,2026-05-08T10:16:33,800422350,NEW0000132,152069.23,RTGS,cash_in
MOCK_000228,2026-05-14T18:56:24,NEW0000057,80026B6A0,422968.39,cheque,payment
MOCK_000229,2026-05-15T16:48:58,NEW0000141,NEW0000074,307217.99,NEFT,debit
MOCK_000230,2026-05-09T07:27:47,NEW0000151,NEW0000039,329369.85,ATM,debit
MOCK_000231,2026-05-28T23:59:13,216B4120,130B7545,132335.31,IMPS,debit
MOCK_000232,2026-05-15T01:29:30,NEW0000074,NEW0000089,320957.23,cheque,cash_out
MOCK_000233,2026-05-04T13:01:11,575E8550,NEW0000145,344309.9,RTGS,cash_out
MOCK_000234,2026-05-07T23:23:10,NEW0000145,238A9883,156298.12,ATM,cash_in
MOCK_000235,2026-05-28T06:22:15,NEW0000033,NEW0000131,53100.9,IMPS,cash_out
MOCK_000236,2026-05-03T10:57:33,545A5242,868A4181,145113.1,branch_cash,debit
MOCK_000237,2026-05-16T04:20:21,8001D2320,NEW0000147,94925.15,RTGS,cash_out
MOCK_000238,2026-05-25T03:28:42,NEW0000119,472B9107,11597.92,branch_cash,debit
MOCK_000239,2026-05-03T08:41:27,495E4167,NEW0000054,25279.7,net_banking,debit
MOCK_000240,2026-05-27T01:17:24,NEW0000167,NEW0000073,4098.62,NEFT,cash_out
MOCK_000241,2026-05-20T13:49:30,005B7236,NEW0000195,182975.02,branch_cash,transfer
MOCK_000242,2026-05-04T13:40:14,457A1192,611C3534,193180.55,net_banking,debit
MOCK_000243,2026-05-07T05:54:13,909E1852,NEW0000030,487541.66,branch_cash,cash_in
MOCK_000244,2026-05-08T00:05:01,NEW0000086,073A8578,99536.95,branch_cash,debit
MOCK_000245,2026-05-23T23:57:06,618A9717,NEW0000204,259671.16,RTGS,debit
MOCK_000246,2026-05-16T11:06:51,NEW0000035,909E1852,81259.4,cheque,debit
MOCK_000247,2026-05-28T07:51:15,525E1591,614B5989,149902.28,UPI,cash_in
MOCK_000248,2026-05-15T22:28:14,NEW0000010,NEW0000149,398379.44,UPI,debit
MOCK_000249,2026-05-29T01:58:17,130B7545,NEW0000198,288821.42,UPI,debit
MOCK_000250,2026-05-19T10:57:13,80026B6A0,NEW0000158,73896.38,IMPS,transfer
MOCK_000251,2026-05-22T09:50:49,80052F960,216B4120,156853.1,RTGS,cash_out
MOCK_000252,2026-05-23T21:27:36,NEW0000105,909E1852,436410.13,UPI,payment
MOCK_000253,2026-05-24T05:20:33,8005FF2D0,289C9503,262743.32,ATM,payment
MOCK_000254,2026-05-13T20:00:15,8006524E0,NEW0000054,305042.19,IMPS,payment
MOCK_000255,2026-05-15T00:42:51,472B9107,NEW0000147,352453.42,net_banking,cash_in
MOCK_000256,2026-05-14T06:36:04,8005FF2D0,NEW0000184,143901.81,branch_cash,cash_out
MOCK_000257,2026-05-03T01:00:39,NEW0000197,NEW0000074,143822.29,NEFT,cash_in
MOCK_000258,2026-05-11T09:18:45,NEW0000167,8003479D0,101041.98,cheque,debit
MOCK_000259,2026-05-29T11:42:25,NEW0000035,118C2559,119648.64,UPI,debit
MOCK_000260,2026-05-17T00:49:11,NEW0000210,714B6082,358681.85,NEFT,payment
MOCK_000261,2026-05-20T18:04:53,8005FF2D0,NEW0000040,326449.87,net_banking,cash_out
MOCK_000262,2026-05-14T20:31:58,NEW0000193,NEW0000082,322952.5,NEFT,debit
MOCK_000263,2026-05-09T11:57:54,118C2559,NEW0000009,208948.31,RTGS,transfer
MOCK_000264,2026-05-15T01:15:12,NEW0000101,NEW0000047,438372.82,UPI,cash_in
MOCK_000265,2026-05-14T19:32:18,868A4181,NEW0000085,227180.0,net_banking,payment
MOCK_000266,2026-05-17T01:16:29,NEW0000119,NEW0000010,81255.51,net_banking,cash_in
MOCK_000267,2026-05-28T13:30:47,NEW0000003,NEW0000075,337203.83,IMPS,payment
MOCK_000268,2026-05-26T00:20:43,NEW0000163,NEW0000109,163970.05,branch_cash,transfer
MOCK_000269,2026-05-01T07:57:27,233C9131,495E4167,130400.03,IMPS,cash_out
MOCK_000270,2026-05-28T19:27:01,NEW0000084,NEW0000292,5727.75,ATM,payment
MOCK_000271,2026-05-20T16:20:40,NEW0000010,8001D2320,343039.95,cheque,transfer
MOCK_000272,2026-05-11T15:18:11,NEW0000075,NEW0000210,478680.69,net_banking,payment
MOCK_000273,2026-05-27T15:54:16,238A9883,80052F960,456399.32,IMPS,payment
MOCK_000274,2026-05-26T12:15:34,NEW0000152,NEW0000020,223379.52,ATM,transfer
MOCK_000275,2026-05-25T12:56:06,NEW0000028,8005FF2D0,101086.37,RTGS,payment
MOCK_000276,2026-05-10T23:18:36,80026B6A0,575E8550,358461.81,net_banking,transfer
MOCK_000277,2026-05-07T09:43:34,NEW0000114,NEW0000116,256628.79,net_banking,debit
MOCK_000278,2026-05-02T01:21:51,NEW0000145,NEW0000078,197980.4,UPI,payment
MOCK_000279,2026-05-04T02:17:08,618A9717,80052F960,270586.34,UPI,transfer
MOCK_000280,2026-05-09T17:41:36,NEW0000120,714B6082,384488.34,branch_cash,cash_in
MOCK_000281,2026-05-19T05:39:31,NEW0000097,80071E780,40134.19,RTGS,cash_in
MOCK_000282,2026-05-11T19:27:10,8006524E0,233C9131,417412.46,UPI,cash_in
MOCK_000283,2026-05-19T09:53:20,NEW0000292,8006524E0,411681.99,IMPS,cash_out
MOCK_000284,2026-05-06T11:28:24,NEW0000280,NEW0000292,16118.34,branch_cash,debit
MOCK_000285,2026-05-05T21:33:11,NEW0000004,063A7560,296976.13,net_banking,debit
MOCK_000286,2026-05-20T12:40:23,NEW0000012,618A9717,219487.02,IMPS,transfer
MOCK_000287,2026-05-28T23:13:01,611C3534,NEW0000292,159458.66,ATM,payment
MOCK_000288,2026-05-11T17:32:00,8002BA920,NEW0000133,206785.97,cheque,transfer
MOCK_000289,2026-05-21T17:43:29,013C2991,NEW0000044,277929.77,UPI,cash_in
MOCK_000290,2026-05-16T11:21:09,NEW0000171,80026B6A0,348157.24,branch_cash,payment
MOCK_000291,2026-05-12T16:44:53,549B9965,NEW0000121,424671.97,cheque,payment
MOCK_000292,2026-05-28T01:17:10,NEW0000014,714B6082,265000.61,branch_cash,payment
MOCK_000293,2026-05-19T00:20:11,NEW0000204,NEW0000115,46241.07,IMPS,transfer
